cryptic | hidden | reverse (side) | inside out,bodi
tree species found in the forest,bodo
small shrub used for medicinal purposes,bodobagi
tender (immature),bodongi
porridge cooked before the sauce is made,bodzo
tree with very large leaves,bodzwagi
verdict | the judgement | decision | sentence,boga
small,bogangi
to pluck maize before maturity,bogi
lazy person,bo gi n lele n ci
under-cooked | dull | unintelligent | clumsy,boki
gossip,boko
tree species,bokoci
very (white),bokpayi
heel,boku
white,boku
salutation given to wunkozi,bokuzi
silver catfish,bola
sin | fault | offence,bola
weakness | feebleness,bola
urine,boli
smooth,bolo
beautiful | nice | fine | pretty,bolo
beauty | prettiness,bolo
imaginary sickness,bolobolo
very (smooth),boloboloyi
salutation for a woodcarver,bo 'lu le 'ba
grass corn sack or bag,boma
enamel pudding dish,bomafa
no wonder! | it is not surprising,bomaji
describes something viscous like the admixture of water to porridge,bombo
very (white),bombonyi
to degrade | to depose,bomi
to curse,bomi
reddish like animal fur,bonda
very (large),bondabondayi
food prepared from crushed corn,bondo
yam cultivar,bondzuru gi
grass,bondzwagi
tender | bodongi,bongi
carton,bongo
trouble,boni
vine species,bonu
to seize,bonya
very (white),bonyi
very (white),bonyi
smacking sound,bonyi
ecstatic cult dance of the hausa,bonyi
locust,bori
empty,boro
any knife with a single cutting edge,boro
blanket,borofo
field grass ,borogo
nomadic fulani,borogogi
disease marked by extreme swelling of the abdomen,bororo
rank among the etsu's personal attendants | the salutations for which are dako,borowa
hard grain of rice that will not soften in cooking,Boruwa
to cook | to keep house,boruwa
to cook | to keep house,boshe
grass used to make contraceptive medicine,boshi
nonsensical | foolish (talk),bota
to hold in subjection | to rule despotically,boteboteny i
owner,botida
hawkers' cry for labowo cooked porridge,botso
to be dull | heavy | slow | sleepy eyed,bowokpa
love,boye
to be too much for,boye
meanness | closeness | miserliness,boye
covetousness,boyedin
marvellous | wonderful | astonishing,boyefa
to invoke evil upon,boyeka
bubbling sound caused by water entering a bottle held under water,bu
earthworm,bubunyi
straight iron rod used by weavers,bubworwo
private work | business or job,bubworwo
name given to mallams of very little learning,buca
field grass | used for horse feed,bude
very (big),budegi
wide,buduyi
grass used to make zana mats,buga
quickly | hurriedly,buga(na)
rank among the kyadya,buguyi
business | work,Buka
hunchback | tumour on the back,bukata
to invoke evil upon,bukia
cheap gown unembroidered,bukuti
whip,bula
grey chalky clay,bulala
drumming by women on an upturned calabash at weddings,bulia
solid | sealed | compact,bumbunuku
tree sap,bunu
dark blue cloth worn by women,bunu
quickly,bunyi
bread,bureedi
fish species,buro
water pot with a very wide mouth and short neck,buru
round | spherical,buru
stick with crossed blades used for twirling in milk to turn it into yoghurt,buruga
nose bag for animals,burugami
very long (as a garment),buruyi
local spiced beer,buruzagi
transverse horn made from antelope horn,busa
sauce made from beans,busu
yellow powder inside the locust fruit,busu
fruit tree,busunci
he-goat,busuru
tall masquerade said to have been adopted from the ebira in the nineteenth century.,Bwadwa
"to be rotten, as over ripe fruit or meat | also applied to meat boiled to shreds",bwo
very (soft as over ripe fruit),bwodwo
careless,bwoku
weak,bwokwo
smooth,bwolwowa
very (large),bwonyi
smooth,bworwo
stout | portly,bwtwo
waterbuck,baraka
dodging | skulking,barama
trader | a middleman,baranda
strong white european cloth,barangia
senseless | nonsensical,barara
trade gin or rum | whiskey,barasa
smooth faced,barawa
